group,function,value,sample_time_nanos,iteration_count
cofactor,scott,"GroupProjective { x: Fp2 { c0: Fp384(BigInteger384([14085293910505732633, 15471667731889063606, 11903723907202272734, 13997511417288092316, 13118955342619024604, 34270753334019985])), c1: Fp384(BigInteger384([15267342013591212469, 15461170050513707882, 9306219900273777372, 14769992750650145957, 11881613188019721149, 32648545418269383])) }, y: Fp2 { c0: Fp384(BigInteger384([2940972275836900224, 18316482177140625748, 3079425400249585274, 5277109094200224733, 4155870366459955565, 19247406358786591])), c1: Fp384(BigInteger384([2692715496110409006, 3648802016877957215, 13358261430292553425, 10492388082624777650, 15109366081778250592, 90061406346863307])) }, z: Fp2 { c0: Fp384(BigInteger384([16435942325001849319, 14682783870913576294, 12871464901353582687, 9691529148378140109, 8331572970043662166, 101320282589981619])), c1: Fp384(BigInteger384([15411390085803848340, 11321679576763497506, 996087066778658121, 15403396672655859005, 16069803216124321383, 11983783386129825])) }, _params: PhantomData }",119770790.0,176
cofactor,scott,"GroupProjective { x: Fp2 { c0: Fp384(BigInteger384([14085293910505732633, 15471667731889063606, 11903723907202272734, 13997511417288092316, 13118955342619024604, 34270753334019985])), c1: Fp384(BigInteger384([15267342013591212469, 15461170050513707882, 9306219900273777372, 14769992750650145957, 11881613188019721149, 32648545418269383])) }, y: Fp2 { c0: Fp384(BigInteger384([2940972275836900224, 18316482177140625748, 3079425400249585274, 5277109094200224733, 4155870366459955565, 19247406358786591])), c1: Fp384(BigInteger384([2692715496110409006, 3648802016877957215, 13358261430292553425, 10492388082624777650, 15109366081778250592, 90061406346863307])) }, z: Fp2 { c0: Fp384(BigInteger384([16435942325001849319, 14682783870913576294, 12871464901353582687, 9691529148378140109, 8331572970043662166, 101320282589981619])), c1: Fp384(BigInteger384([15411390085803848340, 11321679576763497506, 996087066778658121, 15403396672655859005, 16069803216124321383, 11983783386129825])) }, _params: PhantomData }",119289008.0,178
cofactor,scott,"GroupProjective { x: Fp2 { c0: Fp384(BigInteger384([14085293910505732633, 15471667731889063606, 11903723907202272734, 13997511417288092316, 13118955342619024604, 34270753334019985])), c1: Fp384(BigInteger384([15267342013591212469, 15461170050513707882, 9306219900273777372, 14769992750650145957, 11881613188019721149, 32648545418269383])) }, y: Fp2 { c0: Fp384(BigInteger384([2940972275836900224, 18316482177140625748, 3079425400249585274, 5277109094200224733, 4155870366459955565, 19247406358786591])), c1: Fp384(BigInteger384([2692715496110409006, 3648802016877957215, 13358261430292553425, 10492388082624777650, 15109366081778250592, 90061406346863307])) }, z: Fp2 { c0: Fp384(BigInteger384([16435942325001849319, 14682783870913576294, 12871464901353582687, 9691529148378140109, 8331572970043662166, 101320282589981619])), c1: Fp384(BigInteger384([15411390085803848340, 11321679576763497506, 996087066778658121, 15403396672655859005, 16069803216124321383, 11983783386129825])) }, _params: PhantomData }",125657417.0,180
cofactor,scott,"GroupProjective { x: Fp2 { c0: Fp384(BigInteger384([14085293910505732633, 15471667731889063606, 11903723907202272734, 13997511417288092316, 13118955342619024604, 34270753334019985])), c1: Fp384(BigInteger384([15267342013591212469, 15461170050513707882, 9306219900273777372, 14769992750650145957, 11881613188019721149, 32648545418269383])) }, y: Fp2 { c0: Fp384(BigInteger384([2940972275836900224, 18316482177140625748, 3079425400249585274, 5277109094200224733, 4155870366459955565, 19247406358786591])), c1: Fp384(BigInteger384([2692715496110409006, 3648802016877957215, 13358261430292553425, 10492388082624777650, 15109366081778250592, 90061406346863307])) }, z: Fp2 { c0: Fp384(BigInteger384([16435942325001849319, 14682783870913576294, 12871464901353582687, 9691529148378140109, 8331572970043662166, 101320282589981619])), c1: Fp384(BigInteger384([15411390085803848340, 11321679576763497506, 996087066778658121, 15403396672655859005, 16069803216124321383, 11983783386129825])) }, _params: PhantomData }",126339657.0,182
cofactor,scott,"GroupProjective { x: Fp2 { c0: Fp384(BigInteger384([14085293910505732633, 15471667731889063606, 11903723907202272734, 13997511417288092316, 13118955342619024604, 34270753334019985])), c1: Fp384(BigInteger384([15267342013591212469, 15461170050513707882, 9306219900273777372, 14769992750650145957, 11881613188019721149, 32648545418269383])) }, y: Fp2 { c0: Fp384(BigInteger384([2940972275836900224, 18316482177140625748, 3079425400249585274, 5277109094200224733, 4155870366459955565, 19247406358786591])), c1: Fp384(BigInteger384([2692715496110409006, 3648802016877957215, 13358261430292553425, 10492388082624777650, 15109366081778250592, 90061406346863307])) }, z: Fp2 { c0: Fp384(BigInteger384([16435942325001849319, 14682783870913576294, 12871464901353582687, 9691529148378140109, 8331572970043662166, 101320282589981619])), c1: Fp384(BigInteger384([15411390085803848340, 11321679576763497506, 996087066778658121, 15403396672655859005, 16069803216124321383, 11983783386129825])) }, _params: PhantomData }",125676053.0,184
cofactor,scott,"GroupProjective { x: Fp2 { c0: Fp384(BigInteger384([14085293910505732633, 15471667731889063606, 11903723907202272734, 13997511417288092316, 13118955342619024604, 34270753334019985])), c1: Fp384(BigInteger384([15267342013591212469, 15461170050513707882, 9306219900273777372, 14769992750650145957, 11881613188019721149, 32648545418269383])) }, y: Fp2 { c0: Fp384(BigInteger384([2940972275836900224, 18316482177140625748, 3079425400249585274, 5277109094200224733, 4155870366459955565, 19247406358786591])), c1: Fp384(BigInteger384([2692715496110409006, 3648802016877957215, 13358261430292553425, 10492388082624777650, 15109366081778250592, 90061406346863307])) }, z: Fp2 { c0: Fp384(BigInteger384([16435942325001849319, 14682783870913576294, 12871464901353582687, 9691529148378140109, 8331572970043662166, 101320282589981619])), c1: Fp384(BigInteger384([15411390085803848340, 11321679576763497506, 996087066778658121, 15403396672655859005, 16069803216124321383, 11983783386129825])) }, _params: PhantomData }",132310501.0,186
cofactor,scott,"GroupProjective { x: Fp2 { c0: Fp384(BigInteger384([14085293910505732633, 15471667731889063606, 11903723907202272734, 13997511417288092316, 13118955342619024604, 34270753334019985])), c1: Fp384(BigInteger384([15267342013591212469, 15461170050513707882, 9306219900273777372, 14769992750650145957, 11881613188019721149, 32648545418269383])) }, y: Fp2 { c0: Fp384(BigInteger384([2940972275836900224, 18316482177140625748, 3079425400249585274, 5277109094200224733, 4155870366459955565, 19247406358786591])), c1: Fp384(BigInteger384([2692715496110409006, 3648802016877957215, 13358261430292553425, 10492388082624777650, 15109366081778250592, 90061406346863307])) }, z: Fp2 { c0: Fp384(BigInteger384([16435942325001849319, 14682783870913576294, 12871464901353582687, 9691529148378140109, 8331572970043662166, 101320282589981619])), c1: Fp384(BigInteger384([15411390085803848340, 11321679576763497506, 996087066778658121, 15403396672655859005, 16069803216124321383, 11983783386129825])) }, _params: PhantomData }",128541876.0,188
cofactor,scott,"GroupProjective { x: Fp2 { c0: Fp384(BigInteger384([14085293910505732633, 15471667731889063606, 11903723907202272734, 13997511417288092316, 13118955342619024604, 34270753334019985])), c1: Fp384(BigInteger384([15267342013591212469, 15461170050513707882, 9306219900273777372, 14769992750650145957, 11881613188019721149, 32648545418269383])) }, y: Fp2 { c0: Fp384(BigInteger384([2940972275836900224, 18316482177140625748, 3079425400249585274, 5277109094200224733, 4155870366459955565, 19247406358786591])), c1: Fp384(BigInteger384([2692715496110409006, 3648802016877957215, 13358261430292553425, 10492388082624777650, 15109366081778250592, 90061406346863307])) }, z: Fp2 { c0: Fp384(BigInteger384([16435942325001849319, 14682783870913576294, 12871464901353582687, 9691529148378140109, 8331572970043662166, 101320282589981619])), c1: Fp384(BigInteger384([15411390085803848340, 11321679576763497506, 996087066778658121, 15403396672655859005, 16069803216124321383, 11983783386129825])) }, _params: PhantomData }",131217073.0,190
cofactor,scott,"GroupProjective { x: Fp2 { c0: Fp384(BigInteger384([14085293910505732633, 15471667731889063606, 11903723907202272734, 13997511417288092316, 13118955342619024604, 34270753334019985])), c1: Fp384(BigInteger384([15267342013591212469, 15461170050513707882, 9306219900273777372, 14769992750650145957, 11881613188019721149, 32648545418269383])) }, y: Fp2 { c0: Fp384(BigInteger384([2940972275836900224, 18316482177140625748, 3079425400249585274, 5277109094200224733, 4155870366459955565, 19247406358786591])), c1: Fp384(BigInteger384([2692715496110409006, 3648802016877957215, 13358261430292553425, 10492388082624777650, 15109366081778250592, 90061406346863307])) }, z: Fp2 { c0: Fp384(BigInteger384([16435942325001849319, 14682783870913576294, 12871464901353582687, 9691529148378140109, 8331572970043662166, 101320282589981619])), c1: Fp384(BigInteger384([15411390085803848340, 11321679576763497506, 996087066778658121, 15403396672655859005, 16069803216124321383, 11983783386129825])) }, _params: PhantomData }",131484755.0,192
cofactor,scott,"GroupProjective { x: Fp2 { c0: Fp384(BigInteger384([14085293910505732633, 15471667731889063606, 11903723907202272734, 13997511417288092316, 13118955342619024604, 34270753334019985])), c1: Fp384(BigInteger384([15267342013591212469, 15461170050513707882, 9306219900273777372, 14769992750650145957, 11881613188019721149, 32648545418269383])) }, y: Fp2 { c0: Fp384(BigInteger384([2940972275836900224, 18316482177140625748, 3079425400249585274, 5277109094200224733, 4155870366459955565, 19247406358786591])), c1: Fp384(BigInteger384([2692715496110409006, 3648802016877957215, 13358261430292553425, 10492388082624777650, 15109366081778250592, 90061406346863307])) }, z: Fp2 { c0: Fp384(BigInteger384([16435942325001849319, 14682783870913576294, 12871464901353582687, 9691529148378140109, 8331572970043662166, 101320282589981619])), c1: Fp384(BigInteger384([15411390085803848340, 11321679576763497506, 996087066778658121, 15403396672655859005, 16069803216124321383, 11983783386129825])) }, _params: PhantomData }",132105323.0,194
cofactor,scott,"GroupProjective { x: Fp2 { c0: Fp384(BigInteger384([14085293910505732633, 15471667731889063606, 11903723907202272734, 13997511417288092316, 13118955342619024604, 34270753334019985])), c1: Fp384(BigInteger384([15267342013591212469, 15461170050513707882, 9306219900273777372, 14769992750650145957, 11881613188019721149, 32648545418269383])) }, y: Fp2 { c0: Fp384(BigInteger384([2940972275836900224, 18316482177140625748, 3079425400249585274, 5277109094200224733, 4155870366459955565, 19247406358786591])), c1: Fp384(BigInteger384([2692715496110409006, 3648802016877957215, 13358261430292553425, 10492388082624777650, 15109366081778250592, 90061406346863307])) }, z: Fp2 { c0: Fp384(BigInteger384([16435942325001849319, 14682783870913576294, 12871464901353582687, 9691529148378140109, 8331572970043662166, 101320282589981619])), c1: Fp384(BigInteger384([15411390085803848340, 11321679576763497506, 996087066778658121, 15403396672655859005, 16069803216124321383, 11983783386129825])) }, _params: PhantomData }",135563297.0,196
cofactor,scott,"GroupProjective { x: Fp2 { c0: Fp384(BigInteger384([14085293910505732633, 15471667731889063606, 11903723907202272734, 13997511417288092316, 13118955342619024604, 34270753334019985])), c1: Fp384(BigInteger384([15267342013591212469, 15461170050513707882, 9306219900273777372, 14769992750650145957, 11881613188019721149, 32648545418269383])) }, y: Fp2 { c0: Fp384(BigInteger384([2940972275836900224, 18316482177140625748, 3079425400249585274, 5277109094200224733, 4155870366459955565, 19247406358786591])), c1: Fp384(BigInteger384([2692715496110409006, 3648802016877957215, 13358261430292553425, 10492388082624777650, 15109366081778250592, 90061406346863307])) }, z: Fp2 { c0: Fp384(BigInteger384([16435942325001849319, 14682783870913576294, 12871464901353582687, 9691529148378140109, 8331572970043662166, 101320282589981619])), c1: Fp384(BigInteger384([15411390085803848340, 11321679576763497506, 996087066778658121, 15403396672655859005, 16069803216124321383, 11983783386129825])) }, _params: PhantomData }",136290831.0,198
cofactor,scott,"GroupProjective { x: Fp2 { c0: Fp384(BigInteger384([14085293910505732633, 15471667731889063606, 11903723907202272734, 13997511417288092316, 13118955342619024604, 34270753334019985])), c1: Fp384(BigInteger384([15267342013591212469, 15461170050513707882, 9306219900273777372, 14769992750650145957, 11881613188019721149, 32648545418269383])) }, y: Fp2 { c0: Fp384(BigInteger384([2940972275836900224, 18316482177140625748, 3079425400249585274, 5277109094200224733, 4155870366459955565, 19247406358786591])), c1: Fp384(BigInteger384([2692715496110409006, 3648802016877957215, 13358261430292553425, 10492388082624777650, 15109366081778250592, 90061406346863307])) }, z: Fp2 { c0: Fp384(BigInteger384([16435942325001849319, 14682783870913576294, 12871464901353582687, 9691529148378140109, 8331572970043662166, 101320282589981619])), c1: Fp384(BigInteger384([15411390085803848340, 11321679576763497506, 996087066778658121, 15403396672655859005, 16069803216124321383, 11983783386129825])) }, _params: PhantomData }",137643271.0,200
